Open,High,Low,Close,Volume,Dividends,StockSplits
143.8600006,144.4900055,139.7599945,140.6399994,44867300,0,0
142.0500031,143.5700073,140.1199951,143.5500031,47643500,0,0
142.8000031,143.7599945,141.4900055,143.1799927,39014600,0,0
143.9100037,146.5700073,142,144.7799988,59102900,0,0
142.6900024,143.3800049,140.7799988,142.1000061,48149800,0,0
141.3200073,142.7700043,140.3800049,142.3000031,37458700,0,0
140.4700012,141.1100006,137.9100037,138.2299957,47792800,0,0
135.7200012,136.3200073,132.8500061,133.2200012,50461500,0,0
133.4100037,134.9900055,132.9499969,133.6199951,36252100,0,0
132.75,135.4700012,132.1000061,133.8000031,38627000,0,0
135.2599945,137.4199982,134.2799988,137.2799988,37496300,0,0
136.5500031,137.8300018,130.5,130.75,53322700,0,0
129.8999939,131.9499969,128.7700043,129.7899933,48101600,0,0
131.25,132.0700073,126.8499985,128.7299957,49203000,0,0
129.4499969,130.5899963,126.7399979,126.7699966,53648700,0,0
126,128.0200043,123.6600037,127.8199997,56636100,0,0
129.5,131.3800049,126.3899994,127.5100021,57429800,0,0
127.9199982,128.6199951,124.7399979,126.1100006,43888600,0,0
126.1200027,129.8200073,125.4000015,129.4799957,47900300,0,0
127.7200012,130.2799988,127.0999985,129.8200073,43988500,0,0
130.9100037,133.6900024,130.7599945,133.2700043,49387600,0,0
134.1000061,136.4900055,134,136.4499969,53826900,0,0
131.0099945,131.3999939,126.2699966,126.8199997,72694000,0,0
127.3600006,128.8399963,126.3300018,128.5500031,45316800,0,0
127.3799973,130.3699951,125.5,126.2799988,52887200,0,0
122.7799988,123.8700027,120.6999969,123.5299988,115667800,0,0
122.1600037,124.7099991,121.8000031,124.6600037,47279700,0,0
123.3499985,124.4000015,121.1399994,122.1900024,47698400,0,0
122.4899979,123.7600021,118.4499969,118.5400009,58498900,0,0
117.0800018,118.7900009,116.2600021,117.3099976,55229200,0,0
116,116.0500031,112.0599976,113.7799988,65126700,0,0
113.3000031,117.3399963,113.1299973,115.1500015,62723300,0,0
117.1999969,118.3199997,113.0500031,114.4100037,60094700,0,0
114.3799973,118.6999969,113.8000031,118.0100021,55763800,0,0
115.5999985,116.0699997,113.0599976,114.8000031,58969700,0,0
114.0800018,116.9199982,112.8399963,113,59479600,0,0
113.5800018,116.9100037,112.4499969,115.8799973,50941900,0,0
119.8899994,123,119.7900009,121.0899963,62812600,0,0
118.5800018,121.75,117.6900024,120.9499969,48217500,0,0
120.7699966,121.5299988,119.5,120.3000031,42253800,0,0
118,118.1699982,113.8799973,114.5599976,54678000,0,0
115.0999985,116.25,112.4300003,113.6699982,42339700,0,0
112.7099991,115.4800034,110.3899994,112.2099991,56432200,0,0
112.4899979,113.8300018,111.4000015,112.9000015,45728700,0,0
107.8799973,113.4400024,105.3499985,112.5299988,86868100,0,0
114.0999985,114.9599991,106.5999985,106.9000015,67737300,0,0
110.1100006,114.1900024,110.0899963,113.7900009,62782000,0,0
119.0599976,119.5199966,114.7900009,116.3600006,65607400,0,0
114.7099991,116.5899963,113.2200012,115.0699997,47198100,0,0
113.8300018,118.2399979,113.5100021,115.25,48795100,0,0
114.7900009,119.5899963,114.5,119.3199997,55660500,0,0
119.9800034,120.3899994,116.5699997,119.8199997,49531500,0,0
119.6500015,121.3199997,118.9499969,120.5999985,50934600,0,0
116,119.3499985,114.7600021,115.6600037,68802300,0,0
113.9199982,114.1200027,109.7699966,110.9599991,129605400,0,0
97.91000366,103.9599991,97.66000366,103.4100037,223133400,0,0
103.5599976,104.8700027,100.7399979,102.4400024,99251400,0,0
103.9899979,104.5800018,96.05999756,96.79000092,153370000,0,0
97.31999969,97.73999786,92.01000214,92.12000275,135761800,0,0
92.47000122,93.5,89.01999664,89.30000305,136683300,0,0
91.48999786,92.44000244,88.04000092,90.98000336,129101300,0,0
91.94999695,92.09999847,89.04000092,90.52999878,77495700,0,0
90.79000092,91.72000122,88.23000336,89.98000336,88703400,0,0
89.47000122,89.48000336,85.87000275,86.13999939,90796200,0,0
92.94000244,98.69000244,91.65000153,96.62999725,173414900,0,0
97.87999725,101.1900024,96.66000366,100.7900009,111590500,0,0
98.76999664,100.1200027,97.29000092,98.48999786,99533100,0,0
103.2099991,103.7900009,97.33999634,98.94000244,111336300,0,0
96.84999847,98.48999786,95.54000092,97.12000275,87958800,0,0
95.37000275,96.97000122,94.02999878,94.84999847,82617900,0,0
95.94999695,95.98999786,92.48000336,94.13999939,72428200,0,0
93.97000122,95.01999664,90.58999634,92.45999908,84330300,0,0
92.62000275,93.34999847,90.87000275,93.19999695,62192000,0,0
93.23999786,94.58000183,92.83000183,94.12999725,59414700,0,0
93.79000092,94.43000031,93.06999969,93.41000366,35088600,0,0
93.93000031,96.40000153,93.43000031,93.94999695,74943100,0,0
94.04000092,94.41000366,91.44000244,92.41999817,65567300,0,0
92.47000122,96.54000092,91.52999878,96.54000092,102805800,0,0
